time,mnvel,errvel,tel
13927.05042,49.51,0.96,
13927.05119,51.9,0.9,
13927.05193,52.29,0.84,
13982.84764,12.91,1.02,
13982.84838,12.13,1.15,
13982.84911,8.1,1.15,
14085.79536,-60.05,1.18,
14085.79754,-60.5,1.22,
14085.79838,-62.46,1.12,
14337.09242,43.43,1.27,
14339.04723,-42.81,1.22,
14398.85734,-61.7,1.31,
14806.76933,44.98,1.31,
14838.73086,-59.8,1.33,
14964.12809,34.15,1.17,
14984.09879,23.64,1.13,
14985.11711,40.56,1.02,
14986.11805,-36.7,1.09,
14987.11793,-57.25,1.06,
14988.11883,15.92,1.19,
14989.11379,44.08,1.06,
15015.05347,20.24,1.02,
15016.06772,-53.94,0.97,
15019.02109,39.07,1.22,
15027.03102,51.99,1.1,
15041.92954,-56.55,1.26,
15078.08246,43.24,1.15,
15106.76476,27.45,1.32,
15135.72646,-22.94,1.26,
15189.68862,-60.19,1.27,
15190.69278,-27.49,1.4,
15192.68715,26.06,1.29,
15379.09613,4.87,1.06,
15404.92999,-30.68,1.35,
15435.04702,-56.4,1.25,
15704.08051,45.81,1.09,
15729.11009,44.69,1.18,
15732.02701,-41.3,1.07,
15732.03022,-42.2,1.16,
15753.07345,-52.31,1.12,
15782.86016,-34.82,1.3,
15841.7826,-56.46,1.32,
16077.12909,8.08,1.1,
16477.10415,-8.61,1.2,
16529.88511,7.64,1.22,
16584.74057,16.27,1.37,
16639.68211,18.43,1.24,
16847.92537,-57.68,1.11,
16911.77382,-63.49,1.22,
16913.75413,44.62,1.22,
17206.9411,-9.07,1.12,
17290.80939,41.32,1.32,
17339.8244,-39.86,1.28,
17412.69204,36.61,1.3,
17569.05315,22.12,1.12,
17569.05383,20.21,1.08,
17569.05447,20.25,1.12,
17570.01786,42.51,1.52,
17717.73693,50.44,1.2,
