 obnm,UT date,jd,mnvel,errvel,mdchi,cts,tel
rk58.154,11/5/2001,12219.13804,-145.77,1.1,1.293,90943,k
rk59.101,11/22/2001,12236.01473,-63.25,1.21,1.306,83185,k
rk59.593,11/29/2001,12243.05068,-56.68,1.17,1.27,103423,k
rk60.80,2/2/2002,12307.84991,-109.65,1.33,1.397,81925,k
rk61.114,2/28/2002,12333.99767,-140.89,1.49,1.332,92390,k
rk61.259,3/1/2002,12334.893,-142.82,1.27,1.266,92064,k
rk68.102,10/25/2002,12573.11257,-67.01,1.17,1.23,104412,k
rk68.313,10/26/2002,12574.12898,-48.91,1.28,1.248,93411,k
rk68.703,10/28/2002,12576.09811,-12.5,1.35,1.302,93329,k
rk69.120,11/22/2002,12601.03147,-89.08,1.19,1.269,96434,k
rk69.311,11/23/2002,12602.05854,-62.09,1.25,1.234,108936,k
rk69.515,11/24/2002,12603.11363,-29.1,1.21,1.26,109994,k
rk70.207,1/13/2003,12652.97256,-76.34,1.44,1.226,88157,k
rk70.317,1/14/2003,12654.03949,-102.19,1.47,1.316,103510,k
rk71.22,2/10/2003,12680.97016,-33.72,1.33,1.239,89390,k
rk71.121,2/12/2003,12682.95091,-86.66,1.4,1.398,92428,k
rk72.48,3/13/2003,12711.76686,-80.9,1.36,1.38,83061,k
rk72.236,3/14/2003,12712.82557,-108.99,1.39,1.32,87960,k
rk73.160,5/18/2003,12777.8056,-54.44,1.21,1.244,99886,k
rk74.218,6/14/2003,12804.74504,-129.51,1.46,1.331,95267,k
rk80.74,12/14/2003,12988.03829,-9.07,1.3,1.193,126732,k
rk81.967,1/13/2004,13017.86133,-21.45,1.21,1.254,109137,k
rk82.235,2/10/2004,13045.78188,19.38,1.21,1.187,100188,k
rk84.632,3/12/2004,13077.04174,-22.56,1.36,1.201,103201,k
rj03.235,11/29/2004,13339.0433,28.4,0.82,1.155,107204,j
rj03.236,11/29/2004,13339.04446,24.69,0.84,1.184,100754,j
rj03.237,11/29/2004,13339.04551,27.17,0.81,1.179,107656,j
rj04.903,12/30/2004,13369.91578,-16.78,0.82,1.15,101160,j
rj04.904,12/30/2004,13369.91676,-16.91,0.84,1.159,104047,j
rj04.905,12/30/2004,13369.91772,-15.21,0.85,1.119,100270,j
rj06.309,2/24/2005,13425.84215,23.64,0.86,1.039,100108,j
rj06.310,2/24/2005,13425.84322,24.11,0.84,1.061,98827,j
rj06.311,2/24/2005,13425.84426,22.29,0.83,1.047,98046,j
rj07.751,4/20/2005,13480.81943,-54.73,0.75,1.166,95679,j
rj07.752,4/20/2005,13480.82045,-53.49,0.77,1.175,100506,j
rj07.753,4/20/2005,13480.82135,-52.78,0.8,1.159,97143,j
rj08.125,6/25/2005,13546.76276,-36.51,0.96,1.112,104254,j
rj08.126,6/25/2005,13546.76446,-39.59,0.95,1.123,104697,j
rj08.127,6/25/2005,13546.766,-36.25,1,1.116,105685,j
rj08.520,6/26/2005,13547.73887,-77.06,0.8,1.157,155924,j
rj08.521,6/26/2005,13547.74037,-77.88,0.89,1.147,163654,j
rj08.522,6/26/2005,13547.7421,-78.17,0.86,1.148,166828,j
rj08.523,6/26/2005,13547.7436,-78.44,0.94,1.143,162728,j
rj13.181,11/18/2005,13692.98044,-31.71,0.89,1.148,103583,j
rj13.182,11/18/2005,13692.98159,-32.83,0.86,1.143,106022,j
rj13.183,11/18/2005,13692.98273,-31.29,0.81,1.113,101536,j
rj13.235,11/18/2005,13693.07766,-31.89,0.86,1.244,106061,j
rj13.236,11/18/2005,13693.07889,-30.51,0.82,1.256,109643,j
rj13.237,11/18/2005,13693.07973,-30.59,0.82,1.244,107886,j
rj13.653,11/19/2005,13694.08082,-48.64,0.74,1.207,104571,j
rj13.654,11/19/2005,13694.0817,-50.58,0.76,1.219,108899,j
rj13.655,11/19/2005,13694.08258,-49.63,0.76,1.231,108887,j
rj13.1207,11/20/2005,13695.04968,-85.86,0.8,1.165,106595,j
rj13.1208,11/20/2005,13695.05058,-84.22,0.85,1.168,105359,j
rj13.1209,11/20/2005,13695.05146,-85.2,0.8,1.164,105043,j
rj13.1210,11/20/2005,13695.05247,-85.93,1.15,1.07,32726,j
rj13.1672,11/21/2005,13696.02527,-102.95,0.87,1.227,105823,j
rj13.1673,11/21/2005,13696.02608,-103,0.9,1.222,101566,j
rj13.1674,11/21/2005,13696.02692,-101.65,0.89,1.238,106133,j
rj13.2250,11/22/2005,13697.10914,-104.9,1.05,1.203,107775,j
rj13.2251,11/22/2005,13697.10998,-107.13,0.91,1.192,106715,j
rj13.2252,11/22/2005,13697.11081,-101.18,0.91,1.195,107574,j
rj14.165,12/19/2005,13724.05352,-84.69,0.9,1.141,103405,j
rj14.166,12/19/2005,13724.0545,-86.21,0.83,1.149,108445,j
rj14.167,12/19/2005,13724.0556,-86.83,0.89,1.142,104086,j
rj14.168,12/19/2005,13724.05656,-84.48,0.85,1.141,103735,j
rj14.169,12/19/2005,13724.05754,-81.86,0.91,1.148,107144,j
rj14.660,12/20/2005,13724.99331,-98.64,0.95,1.136,106077,j
rj14.661,12/20/2005,13724.99434,-99.89,0.94,1.142,105756,j
rj14.662,12/20/2005,13724.99567,-98.87,0.97,1.112,106050,j
rj15.206,1/11/2006,13747.02495,36.51,0.82,1.111,105307,j
rj15.207,1/11/2006,13747.02608,38.76,0.82,1.13,103876,j
rj15.208,1/11/2006,13747.02723,35.2,0.88,1.126,105667,j
rj15.574,1/12/2006,13747.95713,46.56,0.83,1.165,103039,j
rj15.575,1/12/2006,13747.95808,45.97,0.9,1.172,104753,j
rj15.576,1/12/2006,13747.95902,45.9,0.89,1.184,105070,j
rj15.998,1/13/2006,13748.9221,41.17,0.85,1.114,104216,j
rj15.999,1/13/2006,13748.92321,39.91,0.85,1.125,105904,j
rj15.1000,1/13/2006,13748.92431,41.54,0.88,1.118,106020,j
rj15.1276,1/14/2006,13749.85839,36.94,0.87,1.163,102494,j
rj15.1277,1/14/2006,13749.85928,38.72,0.94,1.144,105370,j
rj15.1278,1/14/2006,13749.86026,36.24,0.9,1.131,104369,j
rj15.1493,1/15/2006,13750.86491,19.25,1.04,1.184,101762,j
rj15.1494,1/15/2006,13750.86578,19.95,0.92,1.203,102764,j
rj15.1495,1/15/2006,13750.86663,17.36,0.94,1.202,107021,j
rj15.1785,1/16/2006,13751.93063,-24.5,0.84,1.186,102969,j
rj15.1981,1/17/2006,13752.97248,-43.27,0.82,1.132,105469,j
rj15.1982,1/17/2006,13752.97351,-40.92,0.87,1.126,104835,j
rj15.1983,1/17/2006,13752.97454,-41.59,0.86,1.129,106903,j
rj15.2389,1/18/2006,13753.94307,-77.52,0.88,1.151,102363,j
rj15.2390,1/18/2006,13753.94401,-75.32,0.94,1.133,104354,j
rj15.2391,1/18/2006,13753.94497,-78.51,0.78,1.155,105928,j
rj16.186,2/9/2006,13775.92237,19.21,0.85,1.221,105214,j
rj16.187,2/9/2006,13775.92326,19.58,0.86,1.219,108389,j
rj16.188,2/9/2006,13775.92416,21.25,0.88,1.252,105789,j
rj16.609,2/10/2006,13776.93972,27.7,0.86,1.273,105411,j
rj16.610,2/10/2006,13776.94063,25.25,0.9,1.269,104461,j
rj16.611,2/10/2006,13776.94152,22.11,0.9,1.308,107679,j
rj16.1129,2/11/2006,13778.01854,44.39,0.94,1.27,103667,j
rj16.1130,2/11/2006,13778.0202,41.03,0.84,1.191,103884,j
rj16.1131,2/11/2006,13778.02145,39.02,0.93,1.157,101180,j
