# RV data for HD75732
#************************************************************************
#      obnm      UT date             jd    mnvel   errvel   mdchi      cts
#************************************************************************
  rk58.154   2001/11/05   12219.138044  -145.77     1.10   1.293    90943
  rk59.101   2001/11/22   12236.014734   -63.25     1.21   1.306    83185
  rk59.593   2001/11/29   12243.050683   -56.68     1.17   1.270   103423
   rk60.80   2002/02/02   12307.849907  -109.65     1.33   1.397    81925
  rk61.114   2002/02/28   12333.997674  -140.89     1.49   1.332    92390
  rk61.259   2002/03/01   12334.892998  -142.82     1.27   1.266    92064
  rk68.102   2002/10/25   12573.112569   -67.01     1.17   1.230   104412
  rk68.313   2002/10/26   12574.128981   -48.91     1.28   1.248    93411
  rk68.703   2002/10/28   12576.098113   -12.50     1.35   1.302    93329
  rk69.120   2002/11/22   12601.031470   -89.08     1.19   1.269    96434
  rk69.311   2002/11/23   12602.058542   -62.09     1.25   1.234   108936
  rk69.515   2002/11/24   12603.113634   -29.10     1.21   1.260   109994
  rk70.207   2003/01/13   12652.972558   -76.34     1.44   1.226    88157
  rk70.317   2003/01/14   12654.039491  -102.19     1.47   1.316   103510
   rk71.22   2003/02/10   12680.970162   -33.72     1.33   1.239    89390
  rk71.121   2003/02/12   12682.950914   -86.66     1.40   1.398    92428
   rk72.48   2003/03/13   12711.766863   -80.90     1.36   1.380    83061
  rk72.236   2003/03/14   12712.825567  -108.99     1.39   1.320    87960
  rk73.160   2003/05/18   12777.805602   -54.44     1.21   1.244    99886
  rk74.218   2003/06/14   12804.745035  -129.51     1.46   1.331    95267
   rk80.74   2003/12/14   12988.038287    -9.07     1.30   1.193   126732
  rk81.967   2004/01/13   13017.861331   -21.45     1.21   1.254   109137
  rk82.235   2004/02/10   13045.781875    19.38     1.21   1.187   100188
  rk84.632   2004/03/12   13077.041736   -22.56     1.36   1.201   103201
  rj03.235   2004/11/29   13339.043299    28.40     0.82   1.155   107204
  rj03.236   2004/11/29   13339.044456    24.69     0.84   1.184   100754
  rj03.237   2004/11/29   13339.045509    27.17     0.81   1.179   107656
  rj04.903   2004/12/30   13369.915775   -16.78     0.82   1.150   101160
  rj04.904   2004/12/30   13369.916759   -16.91     0.84   1.159   104047
  rj04.905   2004/12/30   13369.917720   -15.21     0.85   1.119   100270
  rj06.309   2005/02/24   13425.842153    23.64     0.86   1.039   100108
  rj06.310   2005/02/24   13425.843218    24.11     0.84   1.061    98827
  rj06.311   2005/02/24   13425.844259    22.29     0.83   1.047    98046
  rj07.751   2005/04/20   13480.819433   -54.73     0.75   1.166    95679
  rj07.752   2005/04/20   13480.820451   -53.49     0.77   1.175   100506
  rj07.753   2005/04/20   13480.821354   -52.78     0.80   1.159    97143
  rj08.125   2005/06/25   13546.762755   -36.51     0.96   1.112   104254
  rj08.126   2005/06/25   13546.764456   -39.59     0.95   1.123   104697
  rj08.127   2005/06/25   13546.765995   -36.25     1.00   1.116   105685
  rj08.520   2005/06/26   13547.738866   -77.06     0.80   1.157   155924
  rj08.521   2005/06/26   13547.740370   -77.88     0.89   1.147   163654
  rj08.522   2005/06/26   13547.742095   -78.17     0.86   1.148   166828
  rj08.523   2005/06/26   13547.743600   -78.44     0.94   1.143   162728
  rj13.181   2005/11/18   13692.980440   -31.71     0.89   1.148   103583
  rj13.182   2005/11/18   13692.981586   -32.83     0.86   1.143   106022
  rj13.183   2005/11/18   13692.982731   -31.29     0.81   1.113   101536
  rj13.235   2005/11/18   13693.077662   -31.89     0.86   1.244   106061
  rj13.236   2005/11/18   13693.078889   -30.51     0.82   1.256   109643
  rj13.237   2005/11/18   13693.079734   -30.59     0.82   1.244   107886
  rj13.653   2005/11/19   13694.080822   -48.64     0.74   1.207   104571
  rj13.654   2005/11/19   13694.081701   -50.58     0.76   1.219   108899
  rj13.655   2005/11/19   13694.082581   -49.63     0.76   1.231   108887
 rj13.1207   2005/11/20   13695.049676   -85.86     0.80   1.165   106595
 rj13.1208   2005/11/20   13695.050579   -84.22     0.85   1.168   105359
 rj13.1209   2005/11/20   13695.051458   -85.20     0.80   1.164   105043
 rj13.1210   2005/11/20   13695.052465   -85.93     1.15   1.070    32726
 rj13.1672   2005/11/21   13696.025266  -102.95     0.87   1.227   105823
 rj13.1673   2005/11/21   13696.026076  -103.00     0.90   1.222   101566
 rj13.1674   2005/11/21   13696.026921  -101.65     0.89   1.238   106133
 rj13.2250   2005/11/22   13697.109144  -104.90     1.05   1.203   107775
 rj13.2251   2005/11/22   13697.109977  -107.13     0.91   1.192   106715
 rj13.2252   2005/11/22   13697.110810  -101.18     0.91   1.195   107574
  rj14.165   2005/12/19   13724.053519   -84.69     0.90   1.141   103405
  rj14.166   2005/12/19   13724.054502   -86.21     0.83   1.149   108445
